"Ethereum Version","Num all files","Size all files (B)","Num code files (cpp, py, c, h, sh, sol, go, c, js, java)","Size code files (B)","*","All line additions","All line removals","All files changed","Ratio all files changed","All changed bytes","Ratio all bytes changed","*","Code line additions","Code line removals","Code files changed","Ratio code files changed","Code changed bytes","Ratio code bytes changed","*","File extenension histogram",
"go-ethereum-1.3.6","2030","340326800","1884","339448278","*","24","3","5","0.0024630541871921183","29024","8.52827341249646e-05","*","3","2","2","0.0010615711252653928","28244","8.320560695258558e-05","*",".go (894), .json (776),  (85), .h (67), .dat (45), .md (27), .yml (25), .txt (24), .c (18), .html (12), .sh (9), .png (9), .markdown (8), .cmake (5), .js (5), .py (4), .include (3), .cpp (3), .in (2), .gif (2), .lesser (1), .orig (1), .ac (1), .am (1), .java (1), .mkd (1), .ini (1)",
"go-ethereum-1.4.0","2108","345507769","1963","345209563","*","221293","94675","1188","0.5635673624288425","13162074","0.03809487131966633","*","218047","9489","689","0.3509933774834437","12493326","0.036190555937756566","*",".go (985), .json (778),  (124), .h (68), .yml (31), .md (31), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .include (3), .py (3), .in (2), .lesser (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .js (1), .ac (1), .am (1), .java (1), .deflate (1), .cpp (1), .mkd (1), .ini (1)",
"go-ethereum-1.4.1","2117","345595097","1972","345293655","*","2481","531","42","0.01983939537080775","518621","0.0015006607573486495","*","2444","505","40","0.02028397565922921","510180","0.0014775249779785267","*",".go (993), .json (778),  (124), .h (68), .yml (31), .md (31), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .include (3), .py (3), .in (2), .lesser (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .js (1), .ac (1), .am (1), .java (1), .deflate (1), .cpp (1), .mkd (1), .sol (1), .ini (1)",
"go-ethereum-1.4.2","2120","345598849","1973","345296474","*","244","105","22","0.010377358490566037","726361","0.002101746004368203","*","199","103","19","0.00963000506842372","720885","0.002087727660954916","*",".go (994), .json (778),  (124), .h (68), .yml (31), .md (31), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .include (3), .py (3), .bat (2), .in (2), .lesser (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .js (1), .ac (1), .am (1), .java (1), .deflate (1), .cpp (1), .mkd (1), .sol (1), .ini (1)",
"go-ethereum-1.4.3","2120","345598765","1973","345296390","*","2","6","3","0.0014150943396226414","35741","0.00010341761493273855","*","1","5","2","0.0010136847440446021","35735","0.00010349080104776074","*",".go (994), .json (778),  (124), .h (68), .yml (31), .md (31), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .include (3), .py (3), .bat (2), .in (2), .lesser (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .js (1), .ac (1), .am (1), .java (1), .deflate (1), .cpp (1), .mkd (1), .sol (1), .ini (1)",
"go-ethereum-1.4.4","2120","345610537","1973","345308162","*","374","99","16","0.007547169811320755","324502","0.0009389239194405696","*","373","98","15","0.007602635580334516","324496","0.0009397287284509655","*",".go (994), .json (778),  (124), .h (68), .yml (31), .md (31), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .include (3), .py (3), .bat (2), .in (2), .lesser (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .js (1), .ac (1), .am (1), .java (1), .deflate (1), .cpp (1), .mkd (1), .sol (1), .ini (1)",
"go-ethereum-1.4.5","2121","345625117","1974","345322740","*","563","176","18","0.008486562942008486","243028","0.000703154915677034","*","560","175","16","0.008105369807497468","234585","0.0006793210316818406","*",".go (995), .json (778),  (124), .h (68), .yml (31), .md (31), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .include (3), .py (3), .bat (2), .in (2), .lesser (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .js (1), .ac (1), .am (1), .java (1), .deflate (1), .cpp (1), .mkd (1), .sol (1), .ini (1)",
"go-ethereum-1.4.6","2125","345668971","1978","345366516","*","3150","2181","61","0.028705882352941175","1264791","0.003658965964868163","*","3136","778","52","0.0262891809908999","1254572","0.003632581451526702","*",".go (997), .json (778),  (124), .h (68), .yml (31), .md (31), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .js (3), .include (3), .py (3), .bat (2), .in (2), .lesser (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .ac (1), .am (1), .java (1), .deflate (1), .cpp (1), .mkd (1), .sol (1), .ini (1)",
"go-ethereum-1.4.7","2121","345691604","1969","345362219","*","1574","760","48","0.02263083451202263","408944","0.001182973480605563","*","997","351","34","0.017267648552564754","382008","0.001106108250943338","*",".go (997), .json (778),  (121), .h (68), .md (31), .yml (30), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .js (3), .include (3), .py (3), .bat (2), .in (2), .lesser (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .ac (1), .am (1), .java (1), .deflate (1), .cpp (1), .mkd (1), .sol (1), .ini (1)",
"go-ethereum-1.4.8","2122","345766088","1970","345436703","*","475","11","15","0.00706880301602262","194019","0.000561127903324053","*","474","10","14","0.007106598984771574","194013","0.0005616455874985583","*",".go (998), .json (778),  (121), .h (68), .md (31), .yml (30), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .js (3), .include (3), .py (3), .bat (2), .in (2), .lesser (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .ac (1), .am (1), .java (1), .deflate (1), .cpp (1), .mkd (1), .sol (1), .ini (1)",
